a,b,c
65,-56,92
-85,25,25
-72,-54,-17
-50,-53,-71
-66,45,-91
-74,-26,100
-23,37,76
-34,-20,-52
57,-25,84
52,-51,-48
-7,-62,-83
78,5,-63
-95,71,16
-30,37,-94
59,-25,90
-48,-74,51
90,-42,-40
-64,8,43
-25,-31,20
89,-42,22
-82,32,-72
-32,-28,-34
-11,5,72
-11,-3,67
-86,-45,-31
-67,-3,53
40,52,27
-53,50,87
41,-91,47
-64,-94,74
-24,-5,-75
86,-22,71
78,-33,-30
-99,97,-64
63,5,76
16,23,69
-80,50,67
29,-38,-23
-24,-96,-46
82,-39,89
59,19,-29
35,-52,99
-100,24,-20
-35,-76,-32
-39,87,-26
-73,-4,85
48,46,21
-15,-35,-5
-8,-14,36
-29,80,17
-100,34,0
61,-9,-87
31,-45,5
-64,11,100
-84,-95,36
-44,-64,82
-26,-82,13
67,-82,28
-47,57,51
63,15,-92
91,53,90
10,23,45
18,50,90
93,52,45
-20,3,-17
45,55,-60
-21,-73,70
-16,48,-21
67,65,-34
-87,91,13
-19,-2,7
-25,95,-81
-49,-41,42
-53,90,-91
76,-60,0
-38,-62,18
17,90,-40
-33,-66,1
-58,-70,-84
61,46,50
58,39,-76
-15,32,-82
77,12,66
-61,63,-85
87,-35,-33
14,-25,95
22,45,-13
-92,-34,30
-5,-65,-7
74,-68,-45
84,24,-21
-50,26,65
-87,28,-79
-38,10,97
-39,48,-39
38,-19,-76
76,-19,39
30,-37,-6
-2,-54,11
95,-24,-73
75,98,31
33,-56,-47
-32,43,79
-68,-12,70
-35,32,99
-98,-41,-64
-19,-79,92
-49,49,33
-20,-26,68
-100,-11,-45
-84,6,-13
12,92,-83
-96,19,-28
-3,-83,33
-3,-16,68
-91,-98,88
22,-17,73
90,72,56
72,-9,64
-73,-50,12
62,-31,94
-41,-43,29
60,-16,-58
-4,24,-65
-35,-48,78
42,15,-53
-37,61,-75
66,65,39
92,-41,99
-31,-79,-27
-58,-36,-2
83,73,13
-15,65,-29
68,-77,-3
78,3,-95
-1,41,-59
-47,-63,47
69,-86,47
-7,58,36
25,71,-13
74,37,22
-47,91,-71
34,-76,-11
-72,19,38
-34,71,-69
-47,95,60
87,50,88
-72,-67,81
34,75,10
-9,-58,-35
32,86,22
-17,20,-22
62,24,-48
1,3,-49
-78,-83,19
-9,-50,96
-94,85,-35
-80,-19,51
39,68,-46
-16,94,-13
96,71,-63
-35,30,-11
81,60,39
20,96,-37
-29,-48,97
-26,-39,-55
16,61,-71
-43,-56,-72
-85,47,-77
32,95,-70
48,-86,-29
-35,-44,-73
-83,40,55
60,30,59
10,50,-75
-27,-57,74
66,-92,5
-9,31,21
39,58,-75
27,-7,-95
-79,28,-64
-70,-48,59
65,22,6
-63,-27,60
100,80,-87
-14,-88,86
88,-90,24
80,-88,12
77,-63,-47
-39,80,-83
54,3,-46
-63,-52,62
50,-31,-85
-31,-28,-38
31,-24,-49
14,73,32
74,-31,-97
75,3,33
-28,-9,-17
74,4,-22
-88,-38,9
-87,22,-100
71,1,4
-14,-31,-37
-12,100,-26
-86,-12,30
38,63,18
5,38,14
-62,11,-27
80,-38,-77
88,-17,-95
-63,-91,76
-8,-82,-43
-61,-43,4
-25,-84,94
98,-87,-43
-89,74,-37
9,88,-75
-67,-15,70
62,-3,-69
7,66,98
95,-98,-30
-24,-70,-16
71,61,-64
5,38,66
18,-90,-8
-93,-34,79
-34,82,-26
-23,-81,-35
8,-96,62
50,33,29
72,71,52
89,68,94
31,-46,-50
-76,88,29
34,45,49
-7,-49,-51
77,-37,-31
-85,-34,38
-24,58,39
-2,100,96
-28,37,25
-22,8,-91
-38,32,31
2,-41,-13
-1,-15,72
-30,32,-31
8,-18,-59
-69,-40,54
26,-77,53
1,-1,70
-21,-64,-50
16,44,92
37,87,-72
-16,12,54
79,77,19
55,29,-48
66,50,47
-42,70,59
73,-82,12
-20,-56,-18
34,-82,-58
-64,-59,-62
43,-16,-77
-87,-48,-98
-8,-76,-3
54,-65,-17
11,36,-48
-85,66,-27
-30,-34,63
68,64,-23
31,-41,76
-51,48,43
77,10,100
99,-62,-90
-74,3,45
98,-59,46
32,35,-30
-14,-57,76
-85,17,-93
47,-25,-43
2,54,-38
-44,-76,-74
-98,-17,10
51,-89,31
93,-5,-52
18,84,89
-49,-20,-19
-75,-64,-62
-4,-82,-17
-76,71,39
-27,-72,-11
-95,-88,-54
23,-92,23
35,-31,-37
22,-40,64
-45,1,5
23,-98,72
-84,-36,27
98,5,-40
-3,-74,74
16,35,3
32,-53,-16
-32,94,-73
-52,-39,-11
-96,45,-95
-5,77,2
-79,34,100
-81,-36,-4
14,42,-45
-21,99,31
92,-80,57
84,-85,27
-20,66,-35
-61,-31,-56
-48,-92,-87
11,-34,-39
92,68,3
-78,90,-77
-21,17,4
-96,36,-1
12,84,49
3,-8,-17
75,-91,-47
82,61,85
-56,31,46
-79,58,-5
83,49,-75
-18,67,19
14,-80,56
43,-56,-56
-86,60,-5
-58,99,-36
18,-16,28
-33,29,-75
-81,-16,87
50,44,75
-48,-77,-19
-40,93,90
-16,-48,-34
-86,57,-21
-74,35,-65
78,4,84
12,12,-27
-42,-51,-31
-11,-81,46
96,-22,100
-16,-79,-58
-24,-56,-97
-25,-6,-44
-54,35,-39
-90,-42,-49
20,-94,49
-1,-42,-20
68,18,35
-30,0,28
63,2,-65
79,20,-20
-26,-21,7
-6,-84,-64
-30,-49,68
9,81,37
6,82,3
-4,-22,73
-74,-30,-44
-14,68,7
20,31,-41
-57,73,65
-64,69,-4
-13,23,-45
43,-99,-13
-18,-82,-68
-78,98,-28
100,32,-65
98,77,45
-11,43,-46
-65,-46,-66
11,-14,83
-16,93,-43
46,-89,80
22,84,59
-12,96,7
4,-60,-63
-34,-4,53
-53,69,96
25,76,-42
-12,14,-21
28,-44,84
39,50,-29
82,-74,89
68,35,6
-17,17,-54
-42,-57,-22
-9,62,-64
-89,84,-6
-92,-36,-47
-85,-35,-69
26,59,2
-94,-94,25
-6,-11,-33
-98,-80,-7
-80,-72,29
-33,-24,-58
-55,65,-32
-56,62,96
21,15,-63
-42,-49,-35
-72,-81,87
-29,55,87
87,60,72
38,82,41
57,47,-47
40,90,54
36,94,-30
29,80,12
-43,-63,13
38,-34,-58
-88,77,-9
51,23,-39
40,6,-36
75,-36,99
-33,68,82
55,11,-3
53,4,-75
83,-68,-10
73,-99,-18
-67,25,-36
23,97,-36
-44,79,22
-30,67,-30
97,59,84
-37,88,50
-20,61,-15
79,-92,21
-25,-13,-30
-62,8,23
-59,48,-32
-87,12,6
8,-84,0
11,91,97
-21,-36,-74
74,64,-18
99,73,-88
13,3,67
-22,0,20
-34,-68,-5
-29,-86,57
31,62,42
-33,85,2
34,-9,-62
88,40,-10
-3,-87,46
16,-59,5
2,71,1
9,47,0
17,52,51
98,-80,87
78,29,-85
0,-17,-6
-16,43,42
-10,40,85
-11,-85,49
-53,-76,38
-94,-60,84
-9,-68,-41
25,29,-49
85,-76,37
-49,-7,-78
-4,-91,56
78,-8,-3
-100,-79,-4
98,-25,31
-93,-38,86
-16,-86,80
-55,98,41
65,-33,69
-84,65,45
-15,8,17
-40,9,-46
16,-3,-91
44,48,43
-91,-33,66
76,50,-5
1,-91,-79
43,-89,8
88,-11,88
-1,-36,-91
33,-51,36
76,-3,-10
-66,-15,-27
60,-100,-21
17,-8,51
-7,15,-6
-8,-92,-18
-40,-40,-94
61,-29,-48
45,-60,-45
20,-65,-84
72,-5,-34
87,41,-27
9,-22,-28
5,51,65
27,84,-64
41,-97,32
-31,-93,58
36,1,-3
-15,-96,-33
63,29,81
59,48,27
24,-51,-31
-3,69,-40
-31,-6,-42
68,-1,-88
-34,20,-39
66,-33,26
60,-68,75
45,38,6
-72,-30,23
90,52,1
-34,-36,0
2,95,-50
69,28,-2
93,-11,76
-22,97,52
-15,-80,-44
-75,71,44
-17,-35,83
39,-11,12
-76,-14,-10
-8,84,80
69,-34,11
-26,-76,-70
44,-27,-38
40,73,-48
15,19,-6
-52,20,61
-15,35,-17
84,54,-67
19,-24,-97
-84,-58,-86
18,10,-92
-35,82,-68
-54,-15,-49
-34,-6,-56
-36,33,61
-71,-8,23
-14,-34,-31
-34,-11,-98
-100,-84,-2
-63,8,11
36,-30,-30
23,-35,56
9,70,45
83,-68,-83
16,-59,14
-58,-33,1
86,59,30
100,-95,64
-32,4,50
33,94,-41
6,-4,20
-19,43,4
39,-13,74
99,-21,55
68,-13,65
-18,68,4
-38,-23,7
79,25,94
61,76,57
100,47,-89
1,14,-2
-84,-8,-63
-25,8,-74
-53,48,86
-8,-70,-28
-18,-9,3
48,62,76
-2,63,-62
59,-13,11
-66,-63,48
78,-45,32
82,-4,7
77,23,93
52,39,51
-49,-84,43
-96,85,-80
17,-48,-67
11,50,-98
55,15,-9
-40,-90,-69
15,49,-83
39,17,-94
-32,52,-54
100,9,17
84,87,-45
-36,83,77
-80,-9,81
30,-12,52
-96,-82,-91
0,-91,57
-7,34,-12
-45,-68,71
73,9,59
88,-8,-58
-44,52,41
-21,-93,14
-39,48,46
-60,67,26
-56,-80,-18
-55,-49,9
59,-64,21
79,-49,-80
-63,48,49
-92,-50,-42
36,-18,30
8,100,-96
59,-4,-96
-75,-63,-84
66,85,30
-9,-30,64
-15,50,92
-5,3,58
-27,-70,-26
-36,-79,54
80,69,-11
-94,-18,-27
-86,-36,-94
-21,23,26
47,-19,18
49,-51,14
-36,-86,-76
-66,85,20
-84,49,-30
63,-32,80
-83,34,-48
8,-3,52
-54,-33,41
36,49,78
12,-1,-33
33,43,-89
-12,-65,-61
-34,-35,-98
-6,76,33
38,30,-67
-45,-5,11
-22,0,23
-3,-78,-68
50,79,46
95,-35,21
52,63,-10
-12,93,-1
-30,87,-65
99,-62,13
81,-36,18
80,-38,-24
-67,39,-100
-42,-95,-37
61,-69,-16
100,-19,-3
58,-37,-49
-53,-75,-82
-21,7,29
-25,70,-55
-73,-95,-89
36,-45,-50
72,-29,54
-49,-64,-59
99,-23,35
-57,10,-36
-69,-48,-97
-40,-65,-54
44,-13,37
19,-34,95
-55,-52,-86
-9,-98,-78
94,-44,93
25,-96,-94
26,36,37
-36,25,73
-45,-99,14
-32,37,-9
84,26,62
99,39,-66
26,-61,79
44,68,-27
84,26,42
